"Crop","Season","State","Area","Production","Annual_Rainfall","Fertilizer","Pesticide","Yield"
"Rice","Kharif     ","Uttar Pradesh","5894983","15932429","792.8","956166242.6","2063244.05","2.6056"
"Arhar/Tur","Kharif     ","Assam","6637","4685","2051.4","631643.29","2057.47","0.710434783"
"Castor seed","Kharif     ","Assam","796","22","2051.4","75755.32","246.76","0.238333333"
"Cotton(lint)","Kharif     ","Assam","1739","794","2051.4","165500.63","539.09","0.420909091"
"Jute","Kharif     ","Assam","94520","904095","2051.4","8995468.4","29301.2","9.919565217"
"Maize","Kharif     ","Assam","19216","14721","2051.4","1828786.72","5956.96","0.615652174"
"Mesta","Kharif     ","Assam","5915","29003","2051.4","562930.55","1833.65","4.568947368"
"Small millets","Kharif     ","Assam","10490","5391","2051.4","998333.3","3251.9","0.473"
"Sugarcane","Kharif     ","Assam","31318","1287451","2051.4","2980534.06","9708.58","41.89695652"
"Arhar/Tur","Kharif     ","Karnataka","421810","98473","1266.7","40143657.7","130761.1","0.268235294"
"Bajra","Kharif     ","Karnataka","301149","132056","1266.7","28660350.33","93356.19","0.404545455"
"Black pepper","Kharif     ","Karnataka","3825","924","1266.7","364025.25","1185.75","0.4375"
"Dry chillies","Kharif     ","Karnataka","186579","139206","1266.7","17756723.43","57839.49","1.078333333"
"Ginger","Kharif     ","Karnataka","3619","4745","1266.7","344420.23","1121.89","1.262307692"
"Groundnut","Kharif     ","Karnataka","847666","525562","1266.7","80672373.22","262776.46","0.709411765"
"Horse-gram","Kharif     ","Karnataka","178872","80124","1266.7","17023248.24","55450.32","0.45"
"Jowar","Kharif     ","Karnataka","389690","516093","1266.7","37086797.3","120803.9","1.228"
"Maize","Kharif     ","Karnataka","502797","1391132","1266.7","47851190.49","155867.07","2.687777778"
"Ragi","Kharif     ","Karnataka","897921","1214282","1266.7","85455141.57","278355.51","1.191333333"
"Rice","Kharif     ","Karnataka","1031530","2340493","1266.7","98170710.1","319774.3","2.2335"
"Arhar/Tur","Kharif     ","Meghalaya","865","683","3818.2","82322.05","268.15","0.806666667"
"Cotton(lint)","Kharif     ","Meghalaya","7544","5590","3818.2","717962.48","2338.64","0.796666667"
"Ginger","Kharif     ","Meghalaya","7357","45260","3818.2","700165.69","2280.67","6.054285714"
"Jute","Kharif     ","Meghalaya","4243","34683","3818.2","403806.31","1315.33","8.436666667"
"Linseed","Kharif     ","Meghalaya","50","22","3818.2","4758.5","15.5","0.44"
"Maize","Kharif     ","Meghalaya","17175","24878","3818.2","1634544.75","5324.25","1.444285714"
"Mesta","Kharif     ","Meghalaya","4688","21558","3818.2","446156.96","1453.28","4.68"
"Rice","Kharif     ","Meghalaya","105170","150101","3818.2","10009028.9","32602.7","1.378571429"
"Sesamum","Kharif     ","Meghalaya","1326","688","3818.2","126195.42","411.06","0.575714286"
"Small millets","Kharif     ","Meghalaya","2804","2237","3818.2","266856.68","869.24","0.861428571"
"Soyabean","Kharif     ","Meghalaya","898","814","3818.2","85462.66","278.38","0.921428571"
"Bajra","Kharif     ","West Bengal","207","95","1852.9","19700.19","64.17","0.426666667"
"Cotton(lint)","Kharif     ","West Bengal","26000","52000","1852.9","2474420","8060","2"
"Horse-gram","Kharif     ","West Bengal","5645","2556","1852.9","537234.65","1749.95","0.438888889"
"Jute","Kharif     ","West Bengal","641574","7549700","1852.9","61058597.58","198887.94","13.44588235"
"Mesta","Kharif     ","West Bengal","9689","89000","1852.9","922102.13","3003.59","9.154166667"
"Moong(Green Gram)","Kharif     ","West Bengal","1490","711","1852.9","141803.3","461.9","0.548888889"
"Other Kharif pulses","Kharif     ","West Bengal","1279","725","1852.9","121722.43","396.49","0.585"
"Soyabean","Kharif     ","West Bengal","1555","1172","1852.9","147989.35","482.05","1.196666667"
"Urad","Kharif     ","West Bengal","69271","44480","1852.9","6592521.07","21474.01","1.825"
"Arecanut","Kharif     ","Puducherry","66","23","1434.5875","6520.8","19.14","0.35"
"Bajra","Kharif     ","Puducherry","149","324","1434.5875","14721.2","43.21","2.17"
"Black pepper","Kharif     ","Puducherry","12","7","1434.5875","1185.6","3.48","0.58"
"Coriander","Kharif     ","Puducherry","2","1","1434.5875","197.6","0.58","0.5"
"Dry chillies","Kharif     ","Puducherry","8","23","1434.5875","790.4","2.32","2.75"
"Onion","Kharif     ","Puducherry","26","429","1434.5875","2568.8","7.54","16.5"
"Ragi","Kharif     ","Puducherry","112","366","1434.5875","11065.6","32.48","3.27"
"Rice","Kharif     ","Puducherry","4945","11518","1434.5875","488566","1434.05","2.46"
"Sesamum","Kharif     ","Puducherry","147","120","1434.5875","14523.6","42.63","0.806666667"
"Small millets","Kharif     ","Puducherry","4","3","1434.5875","395.2","1.16","0.75"
"Sugarcane","Kharif     ","Puducherry","2710","232369","1434.5875","267748","785.9","82.595"
"Tapioca","Kharif     ","Puducherry","649","19110","1434.5875","64121.2","188.21","20"
"Arhar/Tur","Kharif     ","Assam","7657","5389","2354.4","756511.6","2220.53","0.709130435"
"Castor seed","Kharif     ","Assam","1728","708","2354.4","170726.4","501.12","0.411428571"
"Cotton(lint)","Kharif     ","Assam","1652","751","2354.4","163217.6","479.08","0.399130435"
